series,sector,date,gdp,hours,employment,output_hour,output_employment,desc_bm
abs,Overall,2015-01-01,282256.0,8144.0,13947.0,34.7,20237.8,Keseluruhan
abs,Agriculture,2015-01-01,21692.0,953.0,1857.0,22.8,11681.2,Pertanian
abs,Mining and quarrying,2015-01-01,26879.0,47.0,78.0,571.9,344602.6,Perlombongan dan pengkuarian
abs,Manufacturing,2015-01-01,62333.0,1436.0,2382.0,43.4,26168.3,Pembuatan
abs,Vegetable and animal oils & fats and food processing,2015-01-01,5319.0,216.0,391.0,24.6,13603.6,Minyak dan lemak daripada sayuran & haiwan dan prosesan makanan
abs,Beverages and tobacco products,2015-01-01,1565.0,12.0,18.0,130.4,86944.4,Minuman dan produk tembakau
abs,"Textiles, wearing apparel and leather products",2015-01-01,1124.0,107.0,222.0,10.5,5063.1,"Produk tekstil, pakaian dan kulit"
abs,"Wood products, furniture, paper products and printing",2015-01-01,4331.0,200.0,317.0,21.7,13662.5,"Produk kayu, perabot, keluaran kertas dan percetakan"
abs,"Petroleum, chemical, rubber and plastic products",2015-01-01,18731.0,241.0,379.0,77.7,49422.2,"Produk petroleum, kimia, getah dan plastik"
abs,"Non-metallic mineral products, basic metal and fabricated metal products",2015-01-01,7281.0,205.0,323.0,35.5,22541.8,"Produk mineral bukan logam, logam asas dan produk logam yang direka"
abs,"Electrical, electronic and optical products",2015-01-01,18350.0,331.0,531.0,55.4,34557.4,"Produk elektrik, elektronik dan optikal"
abs,"Transport equipment, other manufacturing and repair",2015-01-01,5633.0,125.0,202.0,45.1,27886.1,"Peralatan pengangkutan, pembuatan lain dan pembaikan"
abs,Construction,2015-01-01,13728.0,884.0,1482.0,15.5,9263.2,Pembinaan
abs,Services,2015-01-01,154469.0,4824.0,8148.0,32.0,18957.9,Perkhidmatan
abs,Utilities,2015-01-01,7631.0,59.0,101.0,129.3,75554.5,Utiliti
abs,Wholesale and retail trade,2015-01-01,43343.0,1322.0,2164.0,32.8,20029.1,Perdagangan borong dan runcit
abs,Food & beverages and accommodation,2015-01-01,8747.0,771.0,1311.0,11.3,6672.0,Makanan & minuman dan penginapan
abs,Transportation and storage,2015-01-01,10183.0,312.0,508.0,32.6,20045.3,Pengangkutan dan penyimpanan
abs,Information and communication,2015-01-01,15049.0,122.0,208.0,123.4,72351.0,Maklumat dan komunikasi
abs,Finance and insurance,2015-01-01,19741.0,206.0,355.0,95.8,55608.5,Kewangan dan insurans
abs,Real estate and business services,2015-01-01,12510.0,594.0,968.0,21.1,12923.6,Hartanah dan perkhidmatan perniagaan
abs,Other services,2015-01-01,37265.0,1437.0,2535.0,25.9,14700.2,Perkhidmatan lain
abs,Overall,2015-04-01,288975.0,8196.0,13944.0,35.3,20724.0,Keseluruhan
abs,Agriculture,2015-04-01,24001.0,1006.0,1958.0,23.9,12257.9,Pertanian
abs,Mining and quarrying,2015-04-01,25729.0,45.0,73.0,571.8,352452.1,Perlombongan dan pengkuarian
abs,Manufacturing,2015-04-01,65695.0,1445.0,2361.0,45.5,27825.1,Pembuatan
abs,Vegetable and animal oils & fats and food processing,2015-04-01,6668.0,217.0,378.0,30.7,17640.2,Minyak dan lemak daripada sayuran & haiwan dan prosesan makanan
abs,Beverages and tobacco products,2015-04-01,2159.0,11.0,17.0,196.3,127000.0,Minuman dan produk tembakau
